Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (OMA)
Q6PKG0	LARP1_HUMAN	reviewed	La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	Homo sapiens (Human)	1096	ETMKDYE;
Q3V6T2	GRDN_HUMAN	reviewed	Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1)	CCDC88A APE GRDN KIAA1212	Homo sapiens (Human)	1871	WTGSSEH;
Q12980	NPRL3_HUMAN	reviewed	GATOR complex protein NPRL3 (-14 gene protein) (Alpha-globin regulatory element-containing gene protein) (Nitrogen permease regulator 3-like protein) (Protein CGTHBA)	NPRL3 C16orf35 CGTHBA MARE	Homo sapiens (Human)	569	CLPQKVH;
Q9BXM7	PINK1_HUMAN	reviewed	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1	Homo sapiens (Human)	581	CPWLVIT;
Q6MZQ0	PRR5L_HUMAN	reviewed	Proline-rich protein 5-like (Protein observed with Rictor-2) (Protor-2)	PRR5L PROTOR2	Homo sapiens (Human)	368	GGLQNNE;
O75663	TIPRL_HUMAN	reviewed	TIP41-like protein (Putative MAPK-activating protein PM10) (Type 2A-interacting protein) (TIP)	TIPRL	Homo sapiens (Human)	272	TNPDEMQ;
P62753	RS6_HUMAN	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249	KENAKPY;
Q8N122	RPTOR_HUMAN	reviewed	Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein)	RPTOR KIAA1303 RAPTOR	Homo sapiens (Human)	1335	HQFEDHL;
Q96A49	SYAP1_HUMAN	reviewed	Synapse-associated protein 1 (BSD domain-containing signal transducer and Akt interactor protein) (BSTA)	SYAP1 PRO3113	Homo sapiens (Human)	352	ETADWEK;
Q9BPZ7	SIN1_HUMAN	reviewed	Target of rapamycin complex 2 subunit MAPKAP1 (TORC2 subunit MAPKAP1) (Mitogen-activated protein kinase 2-associated protein 1) (Stress-activated map kinase-interacting protein 1) (SAPK-interacting protein 1) (mSIN1)	MAPKAP1 MIP1 SIN1	Homo sapiens (Human)	522	NAKFWPQ;
P58005	SESN3_HUMAN	reviewed	Sestrin-3	SESN3 SEST3	Homo sapiens (Human)	492	DPGFGYK;
Q9BVC4	LST8_HUMAN	reviewed	Target of rapamycin complex subunit LST8 (TORC subunit LST8) (G protein beta subunit-like) (Gable) (Protein GbetaL) (Mammalian lethal with SEC13 protein 8) (mLST8)	MLST8 GBL LST8	Homo sapiens (Human)	326	AGNNKGN;
P23443	KS6B1_HUMAN	reviewed	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	RPS6KB1 STK14A	Homo sapiens (Human)	525	GKDCTAN;
Q9UBS0	KS6B2_HUMAN	reviewed	Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta)	RPS6KB2 STK14B	Homo sapiens (Human)	482	GPFKSSM;
Q6P9B6	MEAK7_HUMAN	reviewed	MTOR-associated protein MEAK7 (MEAK7) (MTOR associated protein, eak-7 homolog) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1)	MEAK7 KIAA1609 TLDC1	Homo sapiens (Human)	456	PQFQGDN;
P42345	MTOR_HUMAN	reviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549	LNIQRYP;
P85299	PRR5_HUMAN	reviewed	Proline-rich protein 5 (Protein observed with Rictor-1) (Protor-1)	PRR5 PROTOR1 PP610	Homo sapiens (Human)	388	EYETEGM;
P23771	GATA3_HUMAN	reviewed	Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3)	GATA3	Homo sapiens (Human)	443	RWMSHHP;
I3L2I3	I3L2I3_HUMAN	unreviewed	Regulatory-associated protein of mTOR	RPTOR	Homo sapiens (Human)	95	
B4DJ80	B4DJ80_HUMAN	unreviewed	cDNA FLJ52080, highly similar to Regulatory-associated protein of mTOR		Homo sapiens (Human)	329	
B7Z3S8	B7Z3S8_HUMAN	unreviewed	cDNA FLJ52081, highly similar to Regulatory-associated protein of mTOR		Homo sapiens (Human)	883	
I3L2E7	I3L2E7_HUMAN	unreviewed	Target of rapamycin complex subunit LST8	MLST8	Homo sapiens (Human)	71	
H3BR25	H3BR25_HUMAN	unreviewed	Target of rapamycin complex subunit LST8 (Fragment)	MLST8	Homo sapiens (Human)	166	
H3BPT1	H3BPT1_HUMAN	unreviewed	Target of rapamycin complex subunit LST8	MLST8	Homo sapiens (Human)	198	
Q6DKI0	Q6DKI0_HUMAN	unreviewed	Raptor protein (Fragment)	raptor	Homo sapiens (Human)	130	
H3BPU5	H3BPU5_HUMAN	unreviewed	Target of rapamycin complex subunit LST8	MLST8	Homo sapiens (Human)	131	
D6R9S6	D6R9S6_HUMAN	unreviewed	Rapamycin-insensitive companion of mTOR (Fragment)	RICTOR	Homo sapiens (Human)	224	
Q8N6M7	Q8N6M7_HUMAN	unreviewed	RICTOR protein	RICTOR	Homo sapiens (Human)	265	
B4E2R3	B4E2R3_HUMAN	unreviewed	cDNA FLJ58875, highly similar to Homo sapiens G protein beta subunit-like (GBL), mRNA		Homo sapiens (Human)	154	
H3BN58	H3BN58_HUMAN	unreviewed	Target of rapamycin complex subunit LST8 (Fragment)	MLST8	Homo sapiens (Human)	202	
H3BSZ4	H3BSZ4_HUMAN	unreviewed	Target of rapamycin complex subunit LST8 (Fragment)	MLST8	Homo sapiens (Human)	275	
H3BQ74	H3BQ74_HUMAN	unreviewed	Target of rapamycin complex subunit LST8 (Fragment)	MLST8	Homo sapiens (Human)	51	
H3BM50	H3BM50_HUMAN	unreviewed	Target of rapamycin complex subunit LST8	MLST8	Homo sapiens (Human)	116	
H3BR38	H3BR38_HUMAN	unreviewed	Target of rapamycin complex subunit LST8	MLST8	Homo sapiens (Human)	72	
A0A024QZM3	A0A024QZM3_HUMAN	unreviewed	Eukaryotic translation initiation factor 4E binding protein 2, isoform CRA_a	EIF4EBP2 hCG_23653	Homo sapiens (Human)	120	KNEANNH;
A0A075B6Q7	A0A075B6Q7_HUMAN	unreviewed	Disrupted in schizophrenia 1 protein (Disrupted in schizophrenia 1, isoform CRA_a)	DISC1 hCG_1644370	Homo sapiens (Human)	854	ACHLFLR;
A0A0A0MR05	A0A0A0MR05_HUMAN	unreviewed	Target of rapamycin complex subunit LST8	MLST8	Homo sapiens (Human)	327	
